"ブランド","品番","カラーNo","ｻｲｽﾞ","品名","カラー名","OEM区分","倉庫ｺｰﾄﾞ","倉庫名","ﾛｹｰｼｮﾝ","可能在庫数","出荷残数","ｷｰﾌﾟ残数","現在庫数","原単価","原価額","預かり区分","年月度","前月在庫数","入荷数","出荷数","入庫数","出庫数","振替数(+)","振替数(-)","調整数","棚卸差異","未入庫数"
"ﾏｻｷﾏﾂｼﾏF","MF1302","1","57","ＭＦ－１３０２","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","0.00","1.00","0.00","1.00","6406.00","6406","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1302","4","57","ＭＦ－１３０２","ﾌﾞﾗｯｸ/ﾚｯﾄﾞ","プロパー","1","物流部倉庫","002E010","0.00","1.00","0.00","1.00","6096.00","6096","自社","2026/09","2.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1303","1","57","ＭＦ－１３０３","ﾎﾜｲﾄｺﾞｰﾙﾄﾞ/ｵﾚﾝｼﾞﾏｰﾌﾞﾙ･ｸﾘｱｶｰｷ","プロパー","1","物流部倉庫","002E010","1.00","0.00","0.00","1.00","6806.00","6806","自社","2026/09","2.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1303","2","57","ＭＦ－１３０３","ﾍｱﾗｲﾝｼﾙﾊﾞｰ/ﾌﾞﾙｰﾏｰﾌﾞﾙ･ｸﾘｱ","プロパー","1","物流部倉庫","002E010","9.00","1.00","3.00","13.00","6686.00","86918","自社","2026/09","14.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1303","3","57","ＭＦ－１３０３","ｶﾞﾝﾒﾀﾙ/ﾌﾞﾗｯｸﾏｰﾌﾞﾙ･ｸﾘｱｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","21.00","1.00","2.00","24.00","6661.00","159864","自社","2026/09","26.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1303","4","57","ＭＦ－１３０３","ﾏｯﾄﾌﾞﾗｯｸ/ﾚｯﾄﾞﾏｰﾌﾞﾙ･ｸﾘｱｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","56.00","1.00","2.00","59.00","6491.00","382969","自社","2026/09","61.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1304","1","58","ＭＦ－１３０４","ﾍｱﾗｲﾝｺﾞｰﾙﾄﾞ･ﾍｱﾗｲﾝｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","1.00","0.00","0.00","1.00","5513.00","5513","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1304","2","58","ＭＦ－１３０４","ﾍｱﾗｲﾝｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","53.00","0.00","0.00","53.00","5003.00","265159","自社","2026/09","54.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1304","3","58","ＭＦ－１３０４","ﾌﾞﾗｯｸﾏｯﾄ","プロパー","1","物流部倉庫","002E010","40.00","0.00","0.00","40.00","4913.00","196520","自社","2026/09","40.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1305","2","58","ＭＦ－１３０５","ﾌﾞﾗｯｸ･ﾗｲﾄｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","1.00","0.00","0.00","1.00","5345.00","5345","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
