"ブランド","品番","カラーNo","ｻｲｽﾞ","品名","カラー名","OEM区分","倉庫ｺｰﾄﾞ","倉庫名","ﾛｹｰｼｮﾝ","可能在庫数","出荷残数","ｷｰﾌﾟ残数","現在庫数","原単価","原価額","預かり区分","年月度","前月在庫数","入荷数","出荷数","入庫数","出庫数","振替数(+)","振替数(-)","調整数","棚卸差異","未入庫数"
"他社仕入商品","!TA"," ","0","他社仕入商品","　","プロパー","1","物流部倉庫","0","482.00","-4.00","0.00","478.00","0.00","0","自社","2026/09","478.00","0","0","0","0","0","0","0","0","0.00"
"ｲｽﾄﾜｰﾙOEM SG","01002134300","1","0","０１００２１３４３００","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","4.00","0.00","0.00","4.00","507.00","2028","自社","2026/09","4.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA1566221","060","0","０１０ＪＡ１５６－６２２１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","414.15","2071","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7560781","020","0","０１０ＪＡ７５６－０７８１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","16.00","0.00","0.00","16.00","333.30","5333","自社","2026/09","16.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7560781","083","0","０１０ＪＡ７５６－０７８１","ﾚｯﾄﾞ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","359.70","3597","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567021","020","0","０１０ＪＡ７５６－７０２１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","3.00","0.00","0.00","3.00","589.20","1768","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567021","065","0","０１０ＪＡ７５６－７０２１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","3.00","0.00","0.00","3.00","589.20","1768","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567031","500","0","０１０ＪＡ７５６－７０３１","ｺﾞｰﾙﾄﾞ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","641.85","6419","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JA7567031","510","0","０１０ＪＡ７５６－７０３１","ｼﾙﾊﾞｰ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","641.85","6419","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JAQ560721","020","0","０１０ＪＡＱ５６－０７２１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","316.80","1584","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JAQ560721","065","0","０１０ＪＡＱ５６－０７２１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","343.20","1716","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｳｼﾞｰSG ﾊﾞﾛｯｸOEM","010JS4566771","065","0","０１０ＪＳ４５６－６７７１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","9.00","0.00","0.00","9.00","359.70","3237","自社","2026/09","9.00","0","0","0","0","0","0","0","0","0.00"
"ｴﾓﾀﾞSG ﾏｰｸｽﾀｲﾗｰ","042620950201","70","0","０４２６２０９５０２０１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","549.45","2747","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","30","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","6.00","6.00","783.75","4703","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","40","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","9.00","9.00","783.75","7054","自社","2026/09","10.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般既成近眼","1000","1","50","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","3.00","3.00","833.25","2500","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","60","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","6.00","6.00","833.25","5000","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"一般既成近眼","1000","1","70","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","62.00","62.00","833.25","51662","自社","2026/09","65.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般既成近眼","1000","1","80","１０００","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","52.00","52.00","833.25","43329","自社","2026/09","56.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922027","010","0","２２６－９２２０２７","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","30.00","0.00","0.00","30.00","381.15","11435","自社","2026/09","30.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922027","020","0","２２６－９２２０２７","ﾐﾙｷｰﾌﾞﾙｰ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","419.10","4191","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922027","090","0","２２６－９２２０２７","ｸﾘｱﾋﾟﾝｸ","OEM","1","物流部倉庫","0","30.00","0.00","0.00","30.00","419.10","12573","自社","2026/09","30.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922027","150","0","２２６－９２２０２７","ｸﾘｱｵﾚﾝｼﾞ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","419.10","4191","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922028","171","0","２２６－９２２０２８","ﾋﾟﾝｸｺﾞｰﾙﾄﾞ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","470.25","2351","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922029","170","0","２２６－９２２０２９","ｺﾞｰﾙﾄﾞ","OEM","1","物流部倉庫","0","1.00","0.00","0.00","1.00","470.25","470","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922030","090","0","２２６－９２２０３０","ﾋﾟﾝｸ/ｼﾙﾊﾞｰ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","392.70","3927","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922030","110","0","２２６－９２２０３０","ﾌﾞﾙｰ/ｼﾙﾊﾞｰ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","392.70","3927","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾏﾘｰｸﾜﾝﾄSG","226922030","150","0","２２６－９２２０３０","ｵﾚﾝｼﾞ/ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","392.70","3927","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ｱｽﾞｰﾙﾊﾞｲﾏｳｼﾞｰSGﾊﾞﾛｯｸ","250JSB562291","020","0","２５０ＪＳＢ５６－２２９１","ｽﾓｰｸｸﾘｱ","OEM","1","物流部倉庫","0","30.00","0.00","0.00","30.00","300.30","9009","自社","2026/09","30.00","0","0","0","0","0","0","0","0","0.00"
"ｱｽﾞｰﾙﾊﾞｲﾏｳｼﾞｰSGﾊﾞﾛｯｸ","250JSB562291","060","0","２５０ＪＳＢ５６－２２９１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","55.00","0.00","0.00","55.00","300.30","16517","自社","2026/09","55.00","0","0","0","0","0","0","0","0","0.00"
"ﾄｰﾏﾝﾄｲｽﾞOEM","2607EEVEE","1","0","２６０７＿ＴＰＥ＿イーブイ","ﾌﾞﾗｳﾝ","OEM","1","物流部倉庫","0","139.00","0.00","0.00","139.00","838.20","116510","自社","2026/09","139.00","0","0","0","0","0","0","0","0","0.00"
"ﾄｰﾏﾝﾄｲｽﾞOEM","2607PIKACHU","1","0","２６０７＿ＴＰＥ＿ピカチュウ","ｲｴﾛｰｺﾞｰﾙﾄﾞ","OEM","1","物流部倉庫","0","74.00","0.00","0.00","74.00","838.20","62027","自社","2026/09","74.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3010","21","0","３０１０","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","81.00","0.00","0.00","81.00","377.85","30606","自社","2026/09","81.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3010","41","0","３０１０","ｶﾞﾝﾒｯｷ","プロパー","1","物流部倉庫","0","9.00","0.00","0.00","9.00","377.85","3401","自社","2026/09","9.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3010","42","0","３０１０","ﾌﾞﾗｳﾝ","プロパー","1","物流部倉庫","0","7.00","0.00","0.00","7.00","377.85","2645","自社","2026/09","7.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3012","1","0","３０１２","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","451.00","0.00","47.00","498.00","356.40","177487","自社","2026/09","499.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3012","11","0","３０１２","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","46.00","0.00","0.00","46.00","356.40","16394","自社","2026/09","46.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3012","21","0","３０１２","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","369.00","0.00","12.00","381.00","356.40","135788","自社","2026/09","381.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3012","22","0","３０１２","ﾌﾞﾗｳﾝ","プロパー","1","物流部倉庫","0","163.00","0.00","25.00","188.00","382.80","71966","自社","2026/09","192.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3012","3","0","３０１２","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","0.00","0.00","3.00","3.00","356.40","1069","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3012","32","0","３０１２","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","6.00","0.00","0.00","6.00","424.60","2548","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3022","1","0","３０２２","ｼﾙﾊﾞｰ/ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","0.00","0.00","2.00","2.00","415.80","832","自社","2026/09","2.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3022","2","0","３０２２","ｺﾞｰﾙﾄﾞ/ﾍﾞｰｼﾞｭ","プロパー","1","物流部倉庫","0","0.00","0.00","1.00","1.00","415.80","416","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3056","1","0","３０５６","ｼﾙﾊﾞｰﾏｯﾄ","プロパー","1","物流部倉庫","0","138.00","0.00","58.00","196.00","419.10","82144","自社","2026/09","199.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3056","2","0","３０５６","ｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","69.00","1.00","146.00","216.00","419.10","90526","自社","2026/09","221.00","0.00","1.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3056","9","0","３０５６","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","621.00","0.00","170.00","791.00","419.10","331508","自社","2026/09","495.00","0.00","0.00","300.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3063","11","0","３０６３","ｼﾙﾊﾞｰﾏｯﾄ","プロパー","1","物流部倉庫","0","112.00","1.00","160.00","273.00","310.20","84685","自社","2026/09","303.00","0.00","18.00","0.00","12.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3063","12","0","３０６３","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","13.00","0.00","135.00","148.00","310.20","45910","自社","2026/09","150.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3063","2","0","３０６３","ｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","239.00","1.00","193.00","433.00","310.20","134317","自社","2026/09","447.00","0.00","5.00","0.00","9.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3063","9","0","３０６３","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","26.00","1.00","336.00","363.00","310.20","112603","自社","2026/09","387.00","0.00","4.00","0.00","20.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3083","1","0","３０８３","ｼﾙﾊﾞｰﾏｯﾄ","プロパー","1","物流部倉庫","0","12.00","0.00","60.00","72.00","404.25","29106","自社","2026/09","77.00","0.00","3.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3083","12","0","３０８３","ﾀﾞｰｸﾌﾞﾗｳﾝ","プロパー","1","物流部倉庫","0","175.00","0.00","37.00","212.00","404.25","85701","自社","2026/09","212.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3083","2","0","３０８３","ｼﾙﾊﾞｰﾏｯﾄ","プロパー","1","物流部倉庫","0","40.00","0.00","37.00","77.00","404.25","31127","自社","2026/09","80.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3083","3","0","３０８３","ｼﾙﾊﾞｰﾏｯﾄ","プロパー","1","物流部倉庫","0","195.00","0.00","0.00","195.00","404.25","78829","自社","2026/09","197.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3100","11","0","３１００","ｼﾙﾊﾞｰ/ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","224.00","0.00","50.00","274.00","366.30","100366","自社","2026/09","318.00","0.00","40.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3100","12","0","３１００","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ/ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","0.00","0.00","12.00","12.00","339.90","4079","自社","2026/09","60.00","0.00","40.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3100","8","0","３１００","ｼﾙﾊﾞ-ｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","59.00","0.00","37.00","96.00","339.90","32630","自社","2026/09","100.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3124","11","0","３１２４","ｼﾙﾊﾞｰ/ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","48.00","0.00","109.00","157.00","377.85","59322","自社","2026/09","157.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3124","12","0","３１２４","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ/ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","77.00","0.00","110.00","187.00","377.85","70658","自社","2026/09","187.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3125","1","0","３１２５","ｼﾙﾊﾞｰ/ｸﾘｱ","プロパー","1","物流部倉庫","0","81.00","2.00","31.00","114.00","339.90","38749","自社","2026/09","122.00","0.00","1.00","0.00","7.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3125","11","0","３１２５","ｼﾙﾊﾞｰ/ｸﾘｱ","プロパー","1","物流部倉庫","0","288.00","1.00","0.00","289.00","339.90","98231","自社","2026/09","292.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3125","12","0","３１２５","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ/ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","280.00","1.00","136.00","417.00","339.90","141738","自社","2026/09","420.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3125","2","0","３１２５","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ/ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","219.00","1.00","203.00","423.00","339.90","143778","自社","2026/09","432.00","0.00","0.00","0.00","9.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3134","1","0","３１３４","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","0.00","0.00","1.00","1.00","470.25","470","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3134A","1","0","３１３４Ａ","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","52.00","0.00","162.00","214.00","366.30","78388","自社","2026/09","217.00","0.00","2.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3134A","11","0","３１３４Ａ","ｸﾞﾚｰ","プロパー","1","物流部倉庫","0","489.00","0.00","23.00","512.00","366.30","187546","自社","2026/09","355.00","0.00","1.00","159.00","1.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3134A","2","0","３１３４Ａ","ﾌﾞﾗｳﾝ","プロパー","1","物流部倉庫","0","568.00","0.00","35.00","603.00","366.30","220879","自社","2026/09","316.00","0.00","0.00","287.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3135","1","0","３１３５","ｼﾙﾊﾞｰ/ｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","7.00","7.00","339.90","2379","自社","2026/09","8.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3135","2","0","３１３５","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ/ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","0.00","0.00","50.00","50.00","339.90","16995","自社","2026/09","61.00","0.00","3.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3144","1","0","３１４４","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","329.00","0.00","1.00","330.00","483.45","159539","自社","2026/09","330.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3144","11","0","３１４４","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","0","174.00","0.00","5.00","179.00","483.45","86538","自社","2026/09","179.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3144","12","0","３１４４","ｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","137.00","0.00","5.00","142.00","458.70","65135","自社","2026/09","144.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3144","2","0","３１４４","ｺﾞｰﾙﾄﾞ","プロパー","1","物流部倉庫","0","322.00","0.00","1.00","323.00","496.65","160418","自社","2026/09","324.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","3145","1","0","３１４５","ｼﾙﾊﾞｰ/ｸﾘｱ","プロパー","1","物流部倉庫","0","28.00","0.00","0.00","28.00","339.90","9517","自社","2026/09","28.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","3145","2","0","３１４５","ｼﾙﾊﾞｰｺﾞｰﾙﾄﾞ/ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","47.00","0.00","0.00","47.00","339.90","15975","自社","2026/09","47.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY561731","065","0","４２０ＪＳＹ５６－１７３１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","6.00","0.00","0.00","6.00","287.10","1723","自社","2026/09","6.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY562491","025","0","４２０ＪＳＹ５６－２４９１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","442.20","4422","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY562491","060","0","４２０ＪＳＹ５６－２４９１","ﾌﾞﾗｳﾝﾃﾞﾐ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","301.95","3020","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY562491","075","0","４２０ＪＳＹ５６－２４９１","ｼｬﾝﾊﾟﾝｸﾘｱ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","303.60","3036","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY562501","020","0","４２０ＪＳＹ５６－２５０１","ﾌﾞﾗｯｸ","OEM","1","物流部倉庫","0","10.00","0.00","0.00","10.00","354.75","3548","自社","2026/09","10.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY562501","060","0","４２０ＪＳＹ５６－２５０１","ﾌﾞﾗｳﾝｸﾘｱ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","354.75","1774","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"ﾛﾃﾞｵｸﾗｳﾝｽﾞSG ﾊﾞﾛｯｸ","420JSY562501","160","0","４２０ＪＳＹ５６－２５０１","ﾊﾟｰﾌﾟﾙｸﾘｱ","OEM","1","物流部倉庫","0","5.00","0.00","0.00","5.00","354.75","1774","自社","2026/09","5.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5003","1","0","５００３","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","226.00","0.00","579.00","805.00","297.00","239085","自社","2026/09","686.00","0.00","20.00","146.00","7.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5003","11","0","５００３","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","0.00","300.00","185.00","485.00","297.00","144045","自社","2026/09","270.00","0.00","85.00","301.00","1.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5003","2","0","５００３","ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","189.00","0.00","363.00","552.00","297.00","163944","自社","2026/09","534.00","0.00","20.00","41.00","3.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5003","21","0","５００３","ｸﾞﾚｰｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","300.00","57.00","357.00","297.00","106029","自社","2026/09","57.00","0.00","0.00","300.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5003","22","0","５００３","ﾌﾞﾗｳﾝｸﾘｱ","プロパー","1","物流部倉庫","0","85.00","300.00","159.00","544.00","297.00","161568","自社","2026/09","253.00","0.00","8.00","301.00","2.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5003","32","0","５００３","ﾐﾙｷｰﾌﾞﾗｳﾝ","プロパー","1","物流部倉庫","0","0.00","300.00","0.00","300.00","297.00","89100","自社","2026/09","2.00","0.00","2.00","300.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5003","42","0","５００３","ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","209.00","0.00","50.00","259.00","297.00","76923","自社","2026/09","259.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5003","8","0","５００３","ｶｰｷｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","300.00","57.00","357.00","297.00","106029","自社","2026/09","60.00","0.00","1.00","301.00","3.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5005","1","0","５００５","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","102.00","0.00","92.00","194.00","353.10","68501","自社","2026/09","198.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5005","11","0","５００５","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","43.00","0.00","90.00","133.00","396.00","52668","自社","2026/09","138.00","0.00","1.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5005","11B","0","５００５","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","0.00","0.00","1.00","1.00","353.10","353","自社","2026/09","1.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5005","2","0","５００５","ﾌﾞﾗｳﾝﾃﾞﾐ","プロパー","1","物流部倉庫","0","0.00","0.00","60.00","60.00","379.50","22770","自社","2026/09","63.00","0.00","1.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5005","21","0","５００５","ｸﾞﾚｰｸﾘｱ","プロパー","1","物流部倉庫","0","108.00","0.00","25.00","133.00","415.10","55208","自社","2026/09","133.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5005","31","0","５００５","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","137.00","0.00","11.00","148.00","353.10","52259","自社","2026/09","150.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5005","9","0","５００５","ｸﾘｱ","プロパー","1","物流部倉庫","0","94.00","0.00","40.00","134.00","353.10","47315","自社","2026/09","134.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5010","1","0","５０１０","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","0.00","0.00","174.00","174.00","247.50","43065","自社","2026/09","181.00","0.00","1.00","0.00","6.00","0.00","0.00","0.00","0.00","0.00"
"一般SG","5010","11","0","５０１０","ｽﾓｰｸｸﾘｱ","プロパー","1","物流部倉庫","0","0.00","0.00","231.00","231.00","247.50","57173","自社","2026/09","231.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5010","16","0","５０１０","ﾋﾟﾝｸｸﾘｱ","プロパー","1","物流部倉庫","0","2.00","0.00","75.00","77.00","288.75","22234","自社","2026/09","77.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5010","32","0","５０１０","ﾗｲﾄﾌﾞﾗｳﾝｸﾘｱ","プロパー","1","物流部倉庫","0","50.00","0.00","43.00","93.00","288.75","26854","自社","2026/09","93.00","0","0","0","0","0","0","0","0","0.00"
"一般SG","5010","41","0","５０１０","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","0","0.00","0.00","8.00","8.00","247.50","1980","自社","2026/09","8.00","0","0","0","0","0","0","0","0","0.00"
